product_id,store_name,sku,category,product_name,price,price_before_tax,final_price_after_tax,currency,stock_status,product_url,image_url,description
310019,PC and Parts,H500-WGNN-S00,computer-cases,Cooler Master MasterCase HAF 500 ARGB White Case,,,,USD,Out Of Stock,https://pcandparts.com/product/cooler-master-mastercase-haf-500-argb-white-case/,https://pcandparts.com/wp-content/uploads/cooler-master-h500-wgnn-s00-mastercase-haf500-argb-case-white.jpg,
303317,PC and Parts,G99.LAN216RX.00,computer-cases,Lian Li Lancool 216 RGB Black,,,,USD,Out Of Stock,https://pcandparts.com/product/lian-li-lancool-216-rgb-black/,https://pcandparts.com/wp-content/uploads/lianli-lancool-216-rgb-black-case.jpg,
309582,PC and Parts,G99.O11VPX.00,computer-cases,Lian Li O11 Vision Compact Black,,,,USD,Out Of Stock,https://pcandparts.com/product/lian-li-o11-vision-compact-black/,https://pcandparts.com/wp-content/uploads/lian-li-o11-vision-o11vpx-compact-black.jpg,
310345,PC and Parts,G99.LAN207DX.00,computer-cases,Lian Li Lancool 207 Digital Black ATX Case with Glass Side Panel,103.00,103.00,114.3300,USD,In Stock,https://pcandparts.com/product/lian-li-lancool-207-digital-black-atx-case-with-glass-side-panel-2/,https://pcandparts.com/wp-content/uploads/lian-li-lancool-207-digital-black-tg-atx-case.jpg,
280950,PC and Parts,CA-1T9-00M1WN-01,computer-cases,ThermalTake H570 TG ARGB Mid Tower Chassis,,,,USD,Out Of Stock,https://pcandparts.com/product/thermaltake-h570-tg-argb-mid-tower-chassis/,https://pcandparts.com/wp-content/uploads/thermaltake-ca-1t9-00m1wn-01-h570-tg-argb-mid-tower-chassis.jpg,
309583,PC and Parts,G99.O11VPW.00,computer-cases,Lian Li O11 Vision Compact White,,,,USD,Out Of Stock,https://pcandparts.com/product/lian-li-o11-vision-compact-white/,https://pcandparts.com/wp-content/uploads/lian-li-o11-vision-o11vpw-compact-white.jpg,
303330,PC and Parts,TD500V2-WGNN-S00,computer-cases,Cooler Master MasterBox TD500 V2 White Case with Polygonal Mesh Front Panel,,,,USD,Out Of Stock,https://pcandparts.com/product/cooler-master-masterbox-td500-v2-white-case-with-polygonal-mesh-front-panel/,https://pcandparts.com/wp-content/uploads/cooler-master-td500v2-wgnn-s00-masterbox-td500-mesh-white.jpg,
309846,PC and Parts,CM-H92FW-R1,computer-cases,NZXT H9 Flow RGB Large Dual-Chamber Mid-Tower White ATX Airflow Case with RGB,194.00,194.00,215.3400,USD,In Stock,https://pcandparts.com/product/nzxt-h9-flow-rgb-large-dual-chamber-mid-tower-white-atx-airflow-case-with-rgb/,https://pcandparts.com/wp-content/uploads/nzxt-h9-flow-cm-h92fw-r1-white-case.jpg,
309738,PC and Parts,CM-H92FB-R1,computer-cases,NZXT H9 Flow RGB Large Dual-Chamber Mid-Tower Black ATX Airflow Case with RGB,194.00,194.00,215.3400,USD,In Stock,https://pcandparts.com/product/nzxt-h9-flow-rgb-large-dual-chamber-mid-tower-black-atx-airflow-case-with-rgb/,https://pcandparts.com/wp-content/uploads/nzxt-h9-flow-cm-h92fb-r1-black-case.jpg,
309710,PC and Parts,CC-H52FW-R1,computer-cases,NZXT H5 Flow RGB Edition White Compact Mid-tower Airflow Case,119.00,119.00,132.0900,USD,In Stock,https://pcandparts.com/product/nzxt-h5-flow-rgb-edition-white-compact-mid-tower-airflow-case/,https://pcandparts.com/wp-content/uploads/nzxt-h5-flow-cc-h52fw-r1-rgb-white-case.jpg,
